DEBUG CRÉDITO ICMS ST

PRODUTO: 00000000048280 | BC_ST: 379.66 | ALIQ: 0.18 | CREDITO: 68.3388
PRODUTO: 00000000048280 | BC_ST: 47.47 | ALIQ: 0.18 | CREDITO: 8.544599999999999
PRODUTO: 00000000048280 | BC_ST: 238.8 | ALIQ: 0.18 | CREDITO: 42.984
PRODUTO: 00000000048281 | BC_ST: 269.39 | ALIQ: 0.18 | CREDITO: 48.490199999999994
PRODUTO: 00000000048281 | BC_ST: 1111.21 | ALIQ: 0.18 | CREDITO: 200.0178
PRODUTO: 00000000048282 | BC_ST: 181.31 | ALIQ: 0.18 | CREDITO: 32.635799999999996
PRODUTO: 00000000048282 | BC_ST: 90.37 | ALIQ: 0.18 | CREDITO: 16.2666
PRODUTO: 00000000048282 | BC_ST: 45.17 | ALIQ: 0.18 | CREDITO: 8.1306
PRODUTO: 00000000048282 | BC_ST: 1852.17 | ALIQ: 0.18 | CREDITO: 333.3906
PRODUTO: 00000000048290 | BC_ST: 476.75 | ALIQ: 0.18 | CREDITO: 85.815
PRODUTO: 00000000048290 | BC_ST: 190.68 | ALIQ: 0.18 | CREDITO: 34.3224
PRODUTO: 00000000048296 | BC_ST: 321.0 | ALIQ: 0.18 | CREDITO: 57.78
PRODUTO: 00000000048296 | BC_ST: 1283.97 | ALIQ: 0.18 | CREDITO: 231.1146
PRODUTO: 00000000048298 | BC_ST: 230.18 | ALIQ: 0.18 | CREDITO: 41.4324
PRODUTO: 00000000048303 | BC_ST: 1518.76 | ALIQ: 0.18 | CREDITO: 273.3768
PRODUTO: 00000000048303 | BC_ST: 824.47 | ALIQ: 0.18 | CREDITO: 148.4046
PRODUTO: 00000000048307 | BC_ST: 167.46 | ALIQ: 0.18 | CREDITO: 30.1428
PRODUTO: 00000000048307 | BC_ST: 251.2 | ALIQ: 0.18 | CREDITO: 45.215999999999994
PRODUTO: 00000000048313 | BC_ST: 737.04 | ALIQ: 0.18 | CREDITO: 132.66719999999998
PRODUTO: 00000000048315 | BC_ST: 194.67 | ALIQ: 0.18 | CREDITO: 35.0406
PRODUTO: 00000000048315 | BC_ST: 311.45 | ALIQ: 0.18 | CREDITO: 56.06099999999999
PRODUTO: 00000000048359 | BC_ST: 130.38 | ALIQ: 0.25 | CREDITO: 32.595
PRODUTO: 00000000048359 | BC_ST: 130.38 | ALIQ: 0.25 | CREDITO: 32.595
PRODUTO: 00000000048365 | BC_ST: 315.71 | ALIQ: 0.18 | CREDITO: 56.827799999999996
PRODUTO: 00000000048365 | BC_ST: 229.04 | ALIQ: 0.18 | CREDITO: 41.227199999999996
PRODUTO: 00000000048375 | BC_ST: 82.02 | ALIQ: 0.18 | CREDITO: 14.763599999999999
PRODUTO: 00000000048375 | BC_ST: 119.49 | ALIQ: 0.18 | CREDITO: 21.5082
PRODUTO: 00000000048381 | BC_ST: 120.89 | ALIQ: 0.18 | CREDITO: 21.760199999999998
PRODUTO: 00000000048513 | BC_ST: 24.82 | ALIQ: 0.25 | CREDITO: 6.205
PRODUTO: 00000000048513 | BC_ST: 25.43 | ALIQ: 0.25 | CREDITO: 6.3575
PRODUTO: 00000000048513 | BC_ST: 50.83 | ALIQ: 0.25 | CREDITO: 12.7075
PRODUTO: 00000000048528 | BC_ST: 25.35 | ALIQ: 0.25 | CREDITO: 6.3375
PRODUTO: 00000000048562 | BC_ST: 33.13 | ALIQ: 0.18 | CREDITO: 5.9634
PRODUTO: 00000000048562 | BC_ST: 276.19 | ALIQ: 0.18 | CREDITO: 49.7142
PRODUTO: 00000000048621 | BC_ST: 745.85 | ALIQ: 0.25 | CREDITO: 186.4625
PRODUTO: 00000000048625 | BC_ST: 12.16 | ALIQ: 0.18 | CREDITO: 2.1888
PRODUTO: 00000000048634 | BC_ST: 69.8 | ALIQ: 0.18 | CREDITO: 12.563999999999998
PRODUTO: 00000000048645 | BC_ST: 79.4 | ALIQ: 0.18 | CREDITO: 14.292
PRODUTO: 00000000048653 | BC_ST: 172.17 | ALIQ: 0.18 | CREDITO: 30.990599999999997
PRODUTO: 00000000048657 | BC_ST: 21.74 | ALIQ: 0.18 | CREDITO: 3.9132
PRODUTO: 00000000048657 | BC_ST: 71.38 | ALIQ: 0.18 | CREDITO: 12.848399999999998
PRODUTO: 00000000048664 | BC_ST: 44.78 | ALIQ: 0.18 | CREDITO: 8.0604
PRODUTO: 00000000048664 | BC_ST: 223.89 | ALIQ: 0.18 | CREDITO: 40.3002
PRODUTO: 00000000048664 | BC_ST: 134.34 | ALIQ: 0.18 | CREDITO: 24.1812
PRODUTO: 00000000048664 | BC_ST: 268.65 | ALIQ: 0.18 | CREDITO: 48.35699999999999
PRODUTO: 00000000048664 | BC_ST: 223.89 | ALIQ: 0.18 | CREDITO: 40.3002
PRODUTO: 00000000048664 | BC_ST: 44.4 | ALIQ: 0.18 | CREDITO: 7.991999999999999
PRODUTO: 00000000048664 | BC_ST: 310.79 | ALIQ: 0.18 | CREDITO: 55.9422
PRODUTO: 00000000048672 | BC_ST: 110.72 | ALIQ: 0.18 | CREDITO: 19.9296
PRODUTO: 00000000048672 | BC_ST: 77.12 | ALIQ: 0.18 | CREDITO: 13.8816
PRODUTO: 00000000048672 | BC_ST: 115.65 | ALIQ: 0.18 | CREDITO: 20.817
