DEBUG ICMS ST - NORMAL

PRODUTO: 00000000037159 | BC_ST: 29.82 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 29.82 | ALIQ: 25.0 | CREDITO: 7.455
PRODUTO: 00000000037693 | BC_ST: 27.8 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 27.8 | ALIQ: 25.0 | CREDITO: 6.95
PRODUTO: 00000000037694 | BC_ST: 37.42 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 37.42 | ALIQ: 25.0 | CREDITO: 9.355
PRODUTO: 00000000037695 | BC_ST: 28.04 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 28.04 | ALIQ: 25.0 | CREDITO: 7.01
PRODUTO: 00000000037696 | BC_ST: 24.89 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 24.89 | ALIQ: 25.0 | CREDITO: 6.2225
PRODUTO: 00000000037699 | BC_ST: 24.69 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 24.69 | ALIQ: 25.0 | CREDITO: 6.1725
PRODUTO: 00000000044675 | BC_ST: 0.0 | QTD: 12.0 | QTD_UTIL: 12.0 | BC_PROP: 0.0 | ALIQ: 0.0 | CREDITO: 0.0
PRODUTO: 00000000044675 | BC_ST: 0.0 | QTD: 20.0 | QTD_UTIL: 3.0 | BC_PROP: 0.0 | ALIQ: 0.0 | CREDITO: 0.0
PRODUTO: 00000000044692 | BC_ST: 0.0 | QTD: 12.0 | QTD_UTIL: 12.0 | BC_PROP: 0.0 | ALIQ: 0.0 | CREDITO: 0.0
PRODUTO: 00000000044692 | BC_ST: 0.0 | QTD: 20.0 | QTD_UTIL: 20.0 | BC_PROP: 0.0 | ALIQ: 0.0 | CREDITO: 0.0
PRODUTO: 00000000044803 | BC_ST: 0.0 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 0.0 | ALIQ: 0.0 | CREDITO: 0.0
PRODUTO: 00000000045557 | BC_ST: 36.44 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 36.44 | ALIQ: 18.0 | CREDITO: 6.5592
PRODUTO: 00000000045629 | BC_ST: 34.45 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 34.45 | ALIQ: 18.0 | CREDITO: 6.2010000000000005
