DEBUG ICMS ST - SIMPLES

PRODUTO: 00000000036826 | BC_ST: 27.22 | BC_ICMS: 14.58 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 12.639999999999999 | ALIQ: 25.0 | CREDITO: 3.1599999999999997
PRODUTO: 00000000037159 | BC_ST: 34.87 | BC_ICMS: 17.49 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 17.38 | ALIQ: 25.0 | CREDITO: 4.345
PRODUTO: 00000000040090 | BC_ST: 18.6 | BC_ICMS: 9.9 | QTD: 2.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.3500000000000005 | ALIQ: 18.0 | CREDITO: 0.783
PRODUTO: 00000000040091 | BC_ST: 10.48 | BC_ICMS: 5.62 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.86 | ALIQ: 18.0 | CREDITO: 0.8748
PRODUTO: 00000000040220 | BC_ST: 35.88 | BC_ICMS: 21.67 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 14.21 | ALIQ: 18.0 | CREDITO: 2.5578
PRODUTO: 00000000040268 | BC_ST: 51.19 | BC_ICMS: 30.92 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 20.269999999999996 | ALIQ: 18.0 | CREDITO: 3.648599999999999
PRODUTO: 00000000045557 | BC_ST: 9.77 | BC_ICMS: 4.89 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.88 | ALIQ: 18.0 | CREDITO: 0.8784
PRODUTO: 00000000045557 | BC_ST: 9.63 | BC_ICMS: 4.82 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.8100000000000005 | ALIQ: 18.0 | CREDITO: 0.8658
PRODUTO: 00000000045627 | BC_ST: 30.18 | BC_ICMS: 16.19 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 13.989999999999998 | ALIQ: 18.0 | CREDITO: 2.5181999999999998
PRODUTO: 00000000045629 | BC_ST: 29.15 | BC_ICMS: 14.76 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 14.389999999999999 | ALIQ: 18.0 | CREDITO: 2.5902
PRODUTO: 00000000045629 | BC_ST: 29.03 | BC_ICMS: 14.7 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 14.330000000000002 | ALIQ: 18.0 | CREDITO: 2.5794
PRODUTO: 00000000046898 | BC_ST: 215.26 | BC_ICMS: 114.23 | QTD: 2.0 | QTD_UTIL: 1.0 | BASE_PROP: 50.51499999999999 | ALIQ: 25.0 | CREDITO: 12.628749999999998
PRODUTO: 00000000047144 | BC_ST: 131.16 | BC_ICMS: 80.98 | QTD: 7.0 | QTD_UTIL: 1.0 | BASE_PROP: 7.168571428571427 | ALIQ: 18.0 | CREDITO: 1.2903428571428568
PRODUTO: 00000000047145 | BC_ST: 39.47 | BC_ICMS: 24.37 | QTD: 5.0 | QTD_UTIL: 4.0 | BASE_PROP: 12.079999999999998 | ALIQ: 18.0 | CREDITO: 2.1743999999999994
PRODUTO: 00000000047146 | BC_ST: 17.67 | BC_ICMS: 10.91 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 6.760000000000002 | ALIQ: 18.0 | CREDITO: 1.2168000000000003
PRODUTO: 00000000047148 | BC_ST: 14.76 | BC_ICMS: 9.11 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 5.65 | ALIQ: 18.0 | CREDITO: 1.0170000000000001
PRODUTO: 00000000047149 | BC_ST: 42.27 | BC_ICMS: 26.1 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 16.17 | ALIQ: 18.0 | CREDITO: 2.9106
PRODUTO: 00000000047149 | BC_ST: 42.27 | BC_ICMS: 26.1 | QTD: 2.0 | QTD_UTIL: 1.0 | BASE_PROP: 8.085 | ALIQ: 18.0 | CREDITO: 1.4553
PRODUTO: 00000000047150 | BC_ST: 17.67 | BC_ICMS: 10.91 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 6.760000000000002 | ALIQ: 18.0 | CREDITO: 1.2168000000000003
