DEBUG ICMS ST - NORMAL

PRODUTO: 00000000046898 | BC_ST: 195.98 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 195.98 | ALIQ: 25.0 | CREDITO: 48.995
PRODUTO: 00000000046898 | BC_ST: 195.98 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 195.98 | ALIQ: 25.0 | CREDITO: 48.995
PRODUTO: 00000000046898 | BC_ST: 1514.32 | QTD: 8.0 | QTD_UTIL: 2.0 | BC_PROP: 378.58 | ALIQ: 25.0 | CREDITO: 94.645
PRODUTO: 00000000046931 | BC_ST: 123.14 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 123.14 | ALIQ: 18.0 | CREDITO: 22.1652
PRODUTO: 00000000046931 | BC_ST: 117.27 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 117.27 | ALIQ: 18.0 | CREDITO: 21.1086
PRODUTO: 00000000046931 | BC_ST: 234.55 | QTD: 2.0 | QTD_UTIL: 1.0 | BC_PROP: 117.275 | ALIQ: 18.0 | CREDITO: 21.1095
PRODUTO: 00000000047144 | BC_ST: 95.61 | QTD: 5.0 | QTD_UTIL: 2.0 | BC_PROP: 38.244 | ALIQ: 18.0 | CREDITO: 6.88392
PRODUTO: 00000000047145 | BC_ST: 14.53 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 14.53 | ALIQ: 18.0 | CREDITO: 2.6153999999999997
PRODUTO: 00000000047145 | BC_ST: 36.59 | QTD: 4.0 | QTD_UTIL: 4.0 | BC_PROP: 36.59 | ALIQ: 18.0 | CREDITO: 6.586200000000001
PRODUTO: 00000000047146 | BC_ST: 15.71 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 15.71 | ALIQ: 18.0 | CREDITO: 2.8278
PRODUTO: 00000000047149 | BC_ST: 149.87 | QTD: 9.0 | QTD_UTIL: 2.0 | BC_PROP: 33.30444444444444 | ALIQ: 18.0 | CREDITO: 5.9948
PRODUTO: 00000000047150 | BC_ST: 28.65 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 28.65 | ALIQ: 18.0 | CREDITO: 5.156999999999999
PRODUTO: 00000000047152 | BC_ST: 67.38 | QTD: 4.0 | QTD_UTIL: 4.0 | BC_PROP: 67.38 | ALIQ: 18.0 | CREDITO: 12.1284
PRODUTO: 00000000047196 | BC_ST: 209.59 | QTD: 6.0 | QTD_UTIL: 3.0 | BC_PROP: 104.79499999999999 | ALIQ: 25.0 | CREDITO: 26.198749999999997
PRODUTO: 00000000047321 | BC_ST: 59.06 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 59.06 | ALIQ: 25.0 | CREDITO: 14.765
PRODUTO: 00000000047321 | BC_ST: 202.13 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 202.13 | ALIQ: 25.0 | CREDITO: 50.5325
PRODUTO: 00000000047339 | BC_ST: 78.69 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 78.69 | ALIQ: 18.0 | CREDITO: 14.1642
PRODUTO: 00000000047339 | BC_ST: 271.68 | QTD: 7.0 | QTD_UTIL: 6.0 | BC_PROP: 232.86857142857144 | ALIQ: 18.0 | CREDITO: 41.91634285714286
PRODUTO: 00000000047552 | BC_ST: 1555.39 | QTD: 18.0 | QTD_UTIL: 9.0 | BC_PROP: 777.695 | ALIQ: 25.0 | CREDITO: 194.42375
PRODUTO: 00000000047553 | BC_ST: 414.06 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 414.06000000000006 | ALIQ: 25.0 | CREDITO: 103.51500000000001
PRODUTO: 00000000047553 | BC_ST: 298.5 | QTD: 4.0 | QTD_UTIL: 4.0 | BC_PROP: 298.5 | ALIQ: 25.0 | CREDITO: 74.625
PRODUTO: 00000000047596 | BC_ST: 11.04 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 11.04 | ALIQ: 18.0 | CREDITO: 1.9871999999999999
PRODUTO: 00000000047598 | BC_ST: 112.65 | QTD: 7.0 | QTD_UTIL: 7.0 | BC_PROP: 112.65000000000002 | ALIQ: 18.0 | CREDITO: 20.277000000000005
PRODUTO: 00000000047599 | BC_ST: 63.53 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 63.53 | ALIQ: 18.0 | CREDITO: 11.4354
